Question|Correct_answer|Answer2|Answer3|Answer4
What was the name of the police officer in the cartoon "Top Cat"?|Dibble|Barbrady|Mahoney|Murphy
Which Greek letter represents the "Half-Life" logo?|Lambda|Omega|Alpha|Sigma
Which element has the chemical symbol 'Fe'?|Iron|Gold|Silver|Tin
In the video-game franchise Kingdom Hearts, the main protagonist, carries a weapon with what shape?|Key|Sword|Pen|Cellphone
How many dice are used in the game of Yahtzee?|Five|Four|Six|Eight
Which of these is NOT an Australian state or territory?|Alberta|New South Wales|Victoria|Queensland
Hippocampus is the Latin name for which marine creature?|Seahorse|Dolphin|Whale|Octopus
The original Roman alphabet lacked the following letters EXCEPT:|X|W|U|J
What is the name of Finnish DJ Darude's hit single released in October 1999?|Sandstorm|Dust Devil|Sirocco|Khamsin
In the fighting game "Skullgirls," which character utilizes a folding chair called the "Hurting" as a weapon?|Beowulf|Big Band|Squigly|Cerebella
Who was given the title "Full Metal" in the anime series "Full Metal Alchemist"?|Edward Elric|Alphonse Elric|Van Hohenheim|Izumi Curtis
In Grand Theft Auto V, what was Michael De Santa's former surname?|Townley|De Santos|Watson|Simpson
What was Manfred von Richthofen's nickname?|The Red Baron|The High Flying Ace|The Blue Serpent |The Germany Gunner
In what year was the game "Fallout" released?|1997|1998|1999|1996
Which of these characters in "Stranger Things" has the power of Telekinesis?|Eleven|Mike|Lucas|Karen
Who created the 2011 Video Game "Minecraft"?|Markus Persson|Jens Bergensten|Daniel Rosenfeld|Carl Manneh
In the movie "Cast Away" the main protagonist's best friend while on the island is named|Wilson|Carson|Jackson|Willy
Which of these is NOT a Humongous Entertainment game franchise?|Commander Keen|Pajama Sam|Putt-Putt|Freddi Fish
Who is the main protagonist of Dead Space?|Isaac Clarke|Commander Shepard|Gordon Freeman|Master Chief
What is the nickname for the US state Delaware?|The First State|The Fiftieth State|The Second State|The Sixteenth State
Who was the Prime Minister of Japan when Japan declared war on the US?|Hideki Tojo|Michinomiya Hirohito|Isoroku Yamamoto|Fumimaro Konoe
In Game of Thrones, what continent lies across the Narrow Sea from Westeros?|Essos|Easteros|Westereast|Esuntos
Kanye West at 2009 VMA's interrupted which celebrity?|Taylor Swift|MF DOOM|Beyonce|Beck
What is the name of the main character in "Life is Strange"?|Maxine Caulfield|Victoria Chase|Stella Hill|Chloe Price
In the television show Breaking Bad, what is the street name of Walter and Jesse's notorious product?|Blue Sky|Baby Blue|Rock Candy|Pure Glass
According to a song by Belinda Carlisle, Heaven is a place on what?|Earth|Venus|Mars|Uranus
Which of the following was NOT a playable character in the game Kingdom Hearts: Birth by Sleep?|Ignis|Ventus|Terra|Aqua
What collaborative album was released by Kanye West and Jay-Z in 2011?|Watch the Throne|Distant Relatives|What a Time to be Alive|Unfinished Business
What is Canada's smallest province?|Prince Edward Island|New Brunswick|Nova Scotia|Yukon
In the movie Gremlins, after what time of day should you not feed Mogwai?|Midnight|Evening|Morning|Afternoon
"The Potato Sack" was a collection of indie games released on Steam in 2011 as a promotion for which game?|Portal 2|Left 4 Dead 2|Half-Life 3|Dota 2
What is Everest's favorite food in the Nickelodeon/Nick Jr. series "PAW Patrol"?|Liver|Chicken|Steak|Caribou
The LS1 engine is how many cubic inches?|346|350|355|360
The LS2 engine is how many cubic inches?|364|346|376|402
What mythology did the god "Apollo" come from?|Greek and Roman|Roman and Spanish|Greek and Chinese|Greek, Roman and Norse
Who led the Communist Revolution of Russia?|Vladimir Lenin|Joseph Stalin|Vladimir Putin|Mikhail Gorbachev
What was the first game in the "Battlefield" series?|Battlefield 1942|Battlefield Vietnam|Battlefield 2|Battlefield 1
What is the hardest possible difficulty in "Deus Ex: Mankind Divided"?|I Never Asked For This|Nightmare|Extreme|Guru
In the novel 1984, written by George Orwell, what is the name of the totalitarian regime that controls Oceania?|INGSOC|Neo-Bolshevism|Obliteration of the Self|Earth Alliance
Which of the following is the IATA code for Manchester Airport?|MAN|EGLL|LHR|EGCC
What colour is the female blackbird?|Brown|Black|White|Yellow
Which punk rock band released hit songs such as "Californication", "Can't Stop" and "Under the Bridge"?|Red Hot Chilli Peppers|Green Day|Linkin Park|Foo Fighters
Which African American is in part responsible for integrating  Major League baseball?|Jackie Robinson|Curt Flood|Roy Campanella|Satchell Paige
Which of the following games has the largest map size?|Just Cause 2|Grand Theft Auto 5|The Elder Scrolls 4:  Oblivion|The Witcher 3:  Wild Hunt
In Fallout: New Vegas, which one of these casinos can you not play in?|Lucky 38|The Tops|Gammorah|Ultra-Luxe
When was the FC Schalke 04 founded?|1904|1909|2008|1999
In "Homestuck" what is Dave Strider's guardian?|Bro|Becquerel|Doc Scratch|Halley
Which of these are NOT a Men at Work song?|Basket Case|Dr. Heckyll and Mr. Jive|Who Can It Be Now?|Be Good Johnny
The “fairy” type made it’s debut in which generation of the Pokemon core series games?|6th|2nd|7th|4th
Who discovered the Law of Gravity?|Sir Isaac Newton|Galileo Galilei|Charles Darwin|Albert Einstein
